GVKEY,Company,Handle,Twitter_Descr,verified
4087,DU PONT (E I) DE NEMOURS,DuPont_News,"For over 200 years DuPont has been innovating around you, reinventing itself to bring technology-driven solutions to customers worldwide. Invent a better now.",True
4093,DUKE ENERGY CORP,DukeEnergy,Follow us for all the latest news about Duke Energy. Customers can report outages at https://t.co/gXdbzJZkPs. If you suspect an emergency please call 911.,True
4383,ATMOS ENERGY CORP,atmosenergy,"This account is not monitored 24/7. If you smell natural gas or suspect gas leak, leave the area immediately and call our 24/7 emergency line: 866.322.8667.",True
4423,EQUIFAX INC,Equifax,"Equifax is a global information solutions company that uses unique data, analytics, tech & expertise to power organizations and individuals around the world.",True
4560,FAMILY DOLLAR STORES,myfamilydollar,"Welcome to the official Twitter account of Family Dollar, your home for savings on the products you love…all in 280 characters or less!",True
4611,MACY'S INC,Macys,Must-have fashion & exciting events. Share your fave finds with #macyslove. Need help? DM us.,True
4640,FIFTH THIRD BANCORP,FifthThird,"We’re here to support your banking needs. Visit https://t.co/GZrBD5oIqE for tips and support. Fifth Third Bank, N.A. Member FDIC.",True
4674,REGIONS FINANCIAL CORP,askRegions,"We will respond to tweets Monday-Friday between 8am-5pm CT, and Saturday 8am-12pm.",True
4723,U S BANCORP,usbank,"Official account of U.S. Bank NA. Member FDIC. Equal Housing Lender. For banking help, tweet @askusbank.",True
4843,FOREST LABORATORIES  -CL A,meury_bill,Chief Commercial Officer @allergan,True
4885,FRANKLIN RESOURCES INC,MartinCurrieIM,"We are active equity specialists and a Specialist Investment Manager of Franklin Resources, Inc.  Important Information https://t.co/Hs5NWFtpIY",True
5234,GOODYEAR TIRE & RUBBER CO,goodyear,The official Goodyear Tire & Rubber Co Twitter account affiliated with @GoodyearBlimp and @GoodyearRacing. Wishing you all a #Goodyear.,True
5256,GRAINGER (W W) INC,grainger,Grainger is here for you—the hard-working people who keep facilities running and workers working day and night.,True
5439,HALLIBURTON CO,Halliburton,One of the world's largest providers of products and services to the energy industry.,True
5709,HORMEL FOODS CORP,HormelFoods,"Official tweets of Hormel Foods Corporation - Inspired People. Inspired Food.™

©Hormel Foods, LLC",True
5786,HUNTINGTON BANCSHARES,Huntington_Bank,Official Twitter feed for Huntington Bank. Member FDIC. https://t.co/wRyH3jl2s0,True
5860,ITT INC,TheHartford,Underwriting human achievement for over two hundred years. Follow us on Instagram: https://t.co/fpIABr62m2,True
6307,SEARS HOLDINGS CORP,Sears,"making moments matter™. The big, the little, the in-between. We’re here for yours. #iheartsears",True
6435,KIMBERLY-CLARK CORP,KCCorp,Kimberly-Clark and our well-known brands are passionate about providing you with the essentials for a better life.,True
6653,LEGG MASON INC,CitiOpen,"🎾 ATP 500 & WTA International Series Tournament 📍Washington, DC 🆕 📆 Jul. 31-Aug. 8, 2021",True
6669,LENNAR CORP,Lennar,"Lennar is a national homebuilding company, offering new homes across America in the most desirable real estate markets.",True
6682,JEFFERIES FINANCIAL GRP INC,HandlerRich,"CEO Jefferies Financial Group/Board Chair U of Rochester ""Be a good person."" https://t.co/JM1ZZJjDB8",True
6768,KATE SPADE & CO,katespadeny,"who we are is intertwined with who you are. we are all the heroines of
our own stories. we are kate spade new york.",True
6788,RANGE RESOURCES CORP,SignifyUni,Brighter by the day! Signify Lighting Academy offers a comprehensive range of educational resources for people who want to expand their lighting knowledge.,True
7116,MATTEL INC,Mattel,We are a creations company that inspires the wonder of childhood!,True
7154,MCDONALD'S CORP,McDonaldsCorp,"We’re feeding and fostering communities around the world. Follow along for updates from McDonald's.

For customer service support, visit: https://t.co/rJg2eBuxTH",True
7228,MEDTRONIC PLC,Medtronic,"A global healthcare solutions company — committed to improving lives through our medical technologies, services, and solutions.  https://t.co/iIsZotRH8F",True
7260,MEREDITH CORP,MeredithCorp,"Meredith is the leading media and marketing company inspiring 190 million American consumers every month, including nearly 95% of U.S. Millennial Women.",True
7343,MICRON TECHNOLOGY INC,MicronTech,We're accelerating the transformation of information to intelligence.,True
7637,MYLAN NV,MylanNews,"We have combined with Upjohn, formerly a division of Pfizer, and are now @ViatrisInc Follow along on our new journey. https://t.co/25nB2194BV",True
7977,XCEL ENERGY INC,XcelEnergyCtr,"America’s most intimate arena. Home of the @mnwild. Follow us for updates on sporting events, family shows, concerts + more. Share your moments using #MyXEC!",True
8247,PPG INDUSTRIES INC,PPG,"A global innovator in paints, coatings and materials. PPG: We protect and beautify the world.",True
8264,PG&E CORP,PGE4Me,"The official account of Pacific Gas and Electric Company. For emergency assistance call 911, for non-emergencies: 1-800-743-5000.",True
8479,PEPSICO INC,PepsiCo,"News, innovation, global inspiration & more from @PepsiCo",True
8488,APPLIED BIOSYSTEMS INC,thermofisher,"Thermo Fisher Scientific Inc. is the world leader in serving science. Our mission is to enable our customers to make the world healthier, cleaner and safer.",True
8549,CONOCOPHILLIPS,conocophillips,We exist to power civilization - Tweets from the ConocoPhillips communications team,True
8551,PVH CORP,PVHCorp,"The Power of Us. The Power of PVH: CALVIN KLEIN, TOMMY HILFIGER, Van Heusen, IZOD, ARROW, Warner’s, Olga, Geoffrey Beene, True&Co",True
8606,PITNEY BOWES INC,PitneyBowes,"Crafting commerce solutions in the areas of e-commerce, financing, shipping, and mailing. Visit @PBCares for customer service.",True
8823,PULTEGROUP INC,PulteHomes,Pulte Homes are built for life and how you live it! Homeowner assistance: socialcare@pultegroup.com.,True
9063,AUTONATION INC,CEOMikeJackson,"Executive Chairman and CEO of AutoNation, Inc.",True
9203,ROCKWELL AUTOMATION,ROKAutomation,Rockwell Automation Inc. (NYSE: ROK) We are #ExpandingHumanPossibility by connecting the imaginations of people with the potential of technology,True
9359,SAFEWAY INC,Safeway,"We're a part of your neighborhood, providing fresh ingredients and more ways to save. https://t.co/by9SDvE9Na",True
9459,SCHERING-PLOUGH,Merck,We have always been and always will be inventing for the single greatest purpose: Life. Intended for U.S. residents only. FLS: https://t.co/unmH53cudx,True
9667,SHERWIN-WILLIAMS CO,SherwinWilliams,"Your neighborhood store for paints, stains, supplies and color. 🎨 Share your project pics using #SWColorLove. 🛒 Order online: https://t.co/up76zy2Uzv",True
9783,KEYCORP,keybank,Helping our communities and clients get ready for tomorrow. Contact customer service @KeyBank_Help. Images shared may be used for marketing. Member FDIC,True
10187,SUNTRUST BANKS INC,SunTrust,SunTrust and BB&T have joined to become Truist. We're building a better future together. https://t.co/wmvY0dyYmx #truist,True
10466,ANDEAVOR,andeavor,"Andeavor has combined with @MarathonPetroCo, creating the leading U.S. refining, midstream and marketing company.",True
10530,THERMO FISHER SCIENTIFIC INC,thermofisher,"Thermo Fisher Scientific Inc. is the world leader in serving science. Our mission is to enable our customers to make the world healthier, cleaner and safer.",True
10787,TYCO INTERNATIONAL PLC,johnsoncontrols,"105,000 experts globally, dedicated to protecting the environment in a 150 countries & 130 years of innovation, we are the power behind our customers’ mission.",True
10860,AMEREN CORP,AmerenCorp,Powering the quality of life for 2.4 million electric and 1 million natural gas customers in Illinois and Missouri.,True
10903,UNITEDHEALTH GROUP INC,UnitedHealthGrp,Helping people live healthier lives and helping make the health system work better for everyone. Media inquiries: https://t.co/LUd3techX6,True
10920,UNITED PARCEL SERVICE INC,UPS,Stay connected to global trade & logistics. Tweets by the UPS Social Team. Question about a package? Ask @UPSHelp. See link in bio for our coronavirus response.,True
11465,WHIRLPOOL CORP,WhirlpoolCorp,Welcome to the Official Twitter Account of The World’s Leading Kitchen and Laundry Appliance Company | Customer Service: @WhirlpoolCare | 800-253-1301,True
11550,WEC ENERGY GROUP INC,aBayraktar1,"Bakan Yardımcısı, Enerji ve Tabii Kaynaklar Bakanlığı, DEK Türkiye Başkanı / Deputy Minister of Energy & Natural Resources of Turkey, Chairman, WEC Turkey",True
11856,TRUIST FINANCIAL CORP,TruistNews,@BBT and @SunTrust have joined to become Truist. See the latest news from our company. For client inquiries: @BBT @AskSunTrust https://t.co/KL8GLcVisy,True
12123,BIG LOTS INC,BigLots,"Live BIG and Save Lots. We help you create cherished memories with affordable solutions for every season, gathering, and celebration! #BigLots",True
12151,COTY INC,COTYInc,We celebrate and liberate the diversity of your beauty.,True
12389,HARLEY-DAVIDSON INC,harleydavidson,The official Twitter feed for the Harley-Davidson Motor Company. #HarleyDavidson,True
12635,FISERV INC,Fiserv,Fiserv (NASDAQ: FISV) is a leading global technology provider serving the financial services industry.,True
12756,COCA-COLA EUROPEAN PARTNERS,CocaColaEP,"Official tweets from Coca-Cola European Partners (CCEP) the world’s largest independent Coca-Cola bottler, based on net sales.",True
13003,JOY GLOBAL INC,VDay,"Global Activist Movement to End Violence Against Women & Girls. V-Day, One Billion Rising, City of Joy. https://t.co/IwZ7hnlRJ4 https://t.co/1h7bHuoPpJ",True
13041,SYNOVUS FINANCIAL CORP,synovus,"Synovus (NYSE:SNV) provides retail and commercial banking, investment, and mortgage services. We respond to tweets Mon-Fri 8am-5pm and Sat 8am-1pm ET.",True
13988,SCHWAB (CHARLES) CORP,CharlesSchwab,Be a more informed investor. Follow us for news and insights to help you #Ownyourtomorrow. Disclosures: https://t.co/nswxFWPqQc,True
14225,FASTENAL CO,FastenalRacing,Official account for Fastenal Racing and the No.17 Ford in the  NASCAR Cup Series. Find us at https://t.co/p9QX5hPKhp,True
14275,FIRST REPUBLIC BANK,firstrepublic,First Republic is a private bank with service at the forefront. It's a privilege to serve you. Member FDIC. Equal Housing Lender.,True
14535,EW SCRIPPS  -CL A,EWScrippsCo,Scripps advances understanding of the world through journalism.,True
14934,DEVON ENERGY CORP,DevonEnergy,Devon is a leading oil and gas producer in the U.S. with a premier multi-basin portfolio headlined by a world-class acreage position in the Delaware Basin. $DVN,True
15247,VALERO ENERGY CORP,ValeroEnergy,"The official Twitter of Valero. Fuel isn’t just about driving, but the drive to achieve greatness. Follow us and see what happens when you fuel the unexpected.",True
15521,STAPLES INC,Staples,"We help teams find fulfillment in Worklife by connecting people, ideas and solutions.",True
15708,ALLERGAN INC,meury_bill,Chief Commercial Officer @allergan,True
16101,ABBVIE INC,abbvie,AbbVie's global handle featuring biopharmaceutical news & updates managed by our corp digital team. Review our guidelines here: http://t.co/qwZuFRpxk5,True
16243,WASHINGTON MUTUAL INC,indiviglio,Former Reuters Breakingviews Washington columnist and Atlantic business writer. Now write for a large mutual fund company. Views expressed here are my own.,True
18699,PTC INC,PTC,PTC unleashes industrial innovation with market-proven solutions that enable companies to drive #digitaltransformation. Learn more: https://t.co/ODzG00fkc5,True
20548,CABOT OIL & GAS CORP,CabotOG,"A leading independent North American natural gas producer with activity focused on Marcellus Shale in northeastern PA
(NYSE:COG) https://t.co/JV1bOgQ6Ry",True
20686,SYNCHRONY FINANCIAL,synchrony,"We’re changing what’s possible for people & businesses in all sorts of ways. For acct support: @AskSynchrony Sun 8a-9p, M/T 8a-10p, W/T 8a-8p, F/S 8a-10p EST",True
20748,ARISTA NETWORKS INC,AristaNetworks,Official news and tweets of Arista Networks: The New Standard in Software Driven Cloud Networking. NYSE: $ANET,True
22260,HCA HEALTHCARE INC,HCAhealthcare,"Above all else, we are committed to the care and improvement of human life.",True
22325,XILINX INC,XilinxInc,"Xilinx is the inventor of the #FPGA, programmable SoCs, and now, the #ACAP. 
#AI #DataCenter #5G",True
23812,REGENERON PHARMACEUTICALS,Regeneron,Official channel for Regeneron. We turn science into medicine for people with serious diseases. View our terms of engagement here https://t.co/of3QRL6CsA,True
23978,UNITED STATES STEEL CORP,dennisogbe,Man of Steel with Heart of Gold and Survivor of Polio.  Top ranked Paralympic Athlete in the United States and around the world. London 2012 US Paralympian.,True
24316,MONSTER BEVERAGE CORP,MonsterEnergy,"#UnleashTheBeast
https://t.co/qgChRebwPI
https://t.co/ul5xeAYPNW 
https://t.co/APqiKknunY
https://t.co/onacwQzm8B",True
24318,XL GROUP LTD,qikipedia,A Quite Interesting Twitter feed from the team behind the BBC TV show QI. https://t.co/KajPX02jPd https://t.co/e7kKHcHU2N https://t.co/q3qVciWTD7,True
24344,VERTEX PHARMACEUTICALS INC,VertexPharma,The official Twitter channel dedicated to media announcements & investor communications from Vertex. https://t.co/sZ4ylSrJeU,True
24468,BIOGEN INC,biogen,Official Twitter channel for Biogen. Focused on cutting-edge science and medicine. Community guidelines: http://t.co/Y0FFAiHjRU,True
24782,PERRIGO CO PLC,billyperrigo,Reporter @TIME. DM me for secure contact details,True
24856,GILEAD SCIENCES INC,GileadSciences,The impossible is not impossible. It’s simply what hasn’t been achieved yet. Twitter guidelines: https://t.co/d5rgWCmRtR.,True
24975,SYNOPSYS INC,SW_Integrity,"The official Twitter account for @Synopsys Software Integrity. Helping #DevSecOps Build secure, high-quality software faster.",True
25124,LINDE PLC,Lindeplc,Linde is a world leading gases and engineering company working in more than 100 countries worldwide. Imprint: https://t.co/nCOI9jxjGX…,True
25338,BED BATH & BEYOND INC,BedBathBeyond,Welcome to our page where you'll find tips & solutions for your home and beyond. Need help? Send us a message! Share your finds with #bedbathandbeyond.,True
25340,D R HORTON INC,DRHorton,"Official Twitter of #DRHorton Homes. Founded in 1978 - America's Largest #Home Builder. #HomeIsDRHorton
Questions or concerns? https://t.co/DlnlnmjDHD",True
25356,EXPRESS SCRIPTS HOLDING CO,ExpressScripts,"We’re united with our partners in pursuit of a simpler, more sustainable system and better health for all. For customer service, please use @ExpressRxHelp.",True
26304,CSRA INC,CSRA_inc,"Every day CSRA brings next generation thinking, delivered today.",True
27333,ADIENT PLC,Adient,"Adient is one of the world's largest, most comprehensive automotive seating and components suppliers.",True
27928,INTUIT INC,rinkisethi,"VP & CISO @Twitter | Ex Rubrik Inc., IBM, Palo Alto Networks, Intuit, eBay, Walmart, PG&E | Board Member | Investor | Mom of 2 | Cybersecurity/Tech Geek",True
27965,MICROCHIP TECHNOLOGY INC,MicrochipTech,"8-/16-/32-bit MCUs, analog and Flash-IP solutions. We will be most able to respond to customer questions between the hours of 7 am to 5 pm MST",True
28180,O'REILLY AUTOMOTIVE INC,oreillyauto,"Share your #projectcars with us and check in for #DIY tips, advice, and all things O'Reilly Auto. 
#OReillyPowered to be featured.",True
28191,ROYAL CARIBBEAN CRUISES LTD,CelebrityCruise,"Official account of Celebrity Cruises | Royal Caribbean Cruises Ltd.1050 Caribbean Way Miami, FL 33132 (305) 341-0204 Privacy Policy: https://t.co/XZNp9GlmHM",True
28877,KEURIG DR PEPPER INC,GreenMtnCoffee,Packed with Goodness.,True
29389,SIMON PROPERTY GROUP INC,_simonlambert,"This is Money Editor and in charge of MailOnline's finance, property and motoring. Views are my own (unless I borrowed them). Snowboarding, skating, cars, fun.",True
29392,EASTMAN CHEMICAL CO,EastmanChemCo,Eastman is a global advanced materials and specialty additives company that produces a broad range of products found in items people use every day.,True
31122,APOLLO EDUCATION GROUP INC,ApolloTheater,The Soul of American Culture • President & CEO @jonelleprocope • Executive Producer @kamilahf • Education @ApolloEdHarlem #DoItForTheCulture,True
31846,DARDEN RESTAURANTS INC,darden,"Across every one of our unique brands and in every role, we’re creating a company that matters. Official news, updates and stories from Darden Restaurants.",True
32106,BAKER HUGHES CO,Avitas_Systems,"A Baker Hughes venture company advancing inspection services with data analytics, robotics, and AI across industrial industries.",True
33439,PERSPECTA INC,Perspecta,"Perspecta was formed to take on the big challenges, and we know what it takes to enable our customers to build a better nation. In fact, we do that every day.",True
35035,KONTOOR BRANDS INC,KontoorBrands,Kontoor is a global lifestyle apparel company with a portfolio of iconic denim brands @Wrangler @LeeJeans. Follow us for official company news & updates.,True
60894,CAMERON INTERNATIONAL CORP,cameron_tiff,"Artistic Director, TIFF",True
61483,DAVITA INC,DaVita,"Committed to bold, patient-centric care models, implementing the latest technologies and moving toward integrated care offerings for all. #DaVitaWay",True
61494,HENRY SCHEIN INC,HenrySchein,"Henry Schein, Inc. is a solutions company for health care professionals powered by a network of people and technology. We are #TeamSchein!
Nasdaq: $HSIC",True
61574,WATERS CORP,WatersCorp,Improving human health and well-being through the application of high-value analytical technologies and industry leading scientific expertise,True
61739,HARTFORD FINANCIAL SERVICES,TheHartford,Underwriting human achievement for over two hundred years. Follow us on Instagram: https://t.co/fpIABr62m2,True
62263,ALEXION PHARMACEUTICALS INC,AlexionPharma,Alexion is focused on developing & delivering life-changing medicines for people living with rare diseases. Community guidelines: https://t.co/oNr47pAdUs,True
62655,DEAN FOODS CO,TysonFoodsCEO,"#RaisingExpectations
#TysonCommunities",True
63080,ANSYS INC,ANSYS,Official Ansys Twitter. #engineering #simulation software   #cfd #fea #hpc #electronics #turbomachinery #iot #multiphysics #5G #electrification #autonomous,True
63501,E TRADE FINANCIAL CORP,etrade,"Welcome to E*TRADE. Follow us for financial insights, commentary, product news and educational events. Disclosure: https://t.co/BJtul9VAM5",True
63645,ENDO INTERNATIONAL PLC,TheLancetEndo,"Your leading source of international, cutting-edge research, review, and opinion in clinical diabetes and endocrinology",True
63892,NATIONAL OILWELL VARCO INC,NOVGlobal,The official Twitter page of National Oilwell Varco.,True
64166,QUEST DIAGNOSTICS INC,QuestDX,Quest Diagnostics empowers people to take action to improve health outcomes.,True
64925,BOSTON PROPERTIES INC,PeterSouhleris,Love buying and rehabbing properties....Architectural Designer/DJ Co-Host on Flipping Boston on A&E and FYI TV,True
66065,UNITED RENTALS INC,UnitedRentals,"The official Twitter account for United Rentals, Inc. the largest equipment rental company, with 1100+ rental locations throughout North America & Europe.",True
66368,VERISIGN INC,VERISIGN,A global provider of domain name registry services and internet infrastructure.,True
100873,NIELSEN HOLDINGS PLC,nielsen,Helping the world understand media insights. 📺,True
117768,NVIDIA CORP,nvidia,The official handle for NVIDIA. Blog: https://t.co/ohDSqeDJ1D Support: https://t.co/DAKuuuZIg5 All NVIDIA Social Media: https://t.co/MeX69boOTQ,True
118122,APTIV PLC,Aptiv,"Aptiv is a global technology company that develops safer, greener and more connected solutions enabling the future of mobility. #ItsOurMove",True
119314,BOOKING HOLDINGS INC,BookingHoldings,"We make it easier for everyone to experience the world through our brands @bookingcom, @kayak, @priceline, @opentable, @agoda and https://t.co/2NxTQDdboS.",True
120877,REYNOLDS AMERICAN INC,coreyreynoldsLA,Actor/Writer/Producer-Resident Alien🤠-All-American-The Closer-Selma-S.O.C-Hairspray(OBC). “The Arts are the tool and the weapon.”-Me #555 #WIM,True
124434,BLACKROCK INC,blackrock,We are a global investment manager and technology provider. We are invested in your financial well-being. Disclosures: https://t.co/RdhTcNYQRf,True
125595,AKAMAI TECHNOLOGIES INC,Akamai,"Akamai secures and delivers digital experiences for the world’s largest companies, keeping apps and experiences closer to users — and threats far away.",True
126554,AGILENT TECHNOLOGIES INC,AgilentChem,"Agilent's Chemical Analysis Group offers lab & mobile measurement systems & solutions for enviro, food, forensic, energy/chemical, materials testing & more.",True
133366,EDWARDS LIFESCIENCES CORP,EdwardsLifesci,Official feed of Edwards Lifesciences. Committed to addressing the unmet needs of patients with structural heart disease and the critically ill.,True
135990,NRG ENERGY INC,nrgenergy,"A Fortune 500, NRG is the leading integrated power company in the United States.",True
140541,TAPESTRY INC,Coach,The original American house of leather.,True
141459,GARMIN LTD,Garmin,Engineered on the inside for life on the outside. Questions? Visit https://t.co/X8hmSwm2ec. For more visit us at https://t.co/8Vs2SYClHA or in person https://t.co/qdt7qb1g5s.,True
142460,PEABODY ENERGY CORP,peabodyenergy,"Peabody is the leading global pure-play coal company, serving power and steel customers in more than 25 countries on six continents.",True
144009,WILLIS TOWERS WATSON PLC,WTWesp,"Tú ves el futuro. Nosotros te ayudamos a llegar a él. Gestionamos #personas, #riesgos y #capital para convertirlos en oportunidades de crecimiento.",True
145046,ANTHEM INC,AnthemInc,Our companies work to bring affordable quality care to consumers. Follow us for the latest health care insights. Corp responsibility @AnthemFDN,True
145049,GAMESTOP CORP,gamestopcorp,Tweets from the @gamestop communications team with news from its family of specialty retail brands. Customer or product issues? Email us at twitter@gamestop.com,True
150937,SEAGATE TECHNOLOGY PLC,Seagate,The world leader in storage solutions. Pioneering the datasphere. For support @AskSeagate,True
158354,GENWORTH FINANCIAL INC,Genworth,Helping families have “the talk” about long term care planning. Need us? Call 888-GENWORTH.,True
160479,EXTRA SPACE STORAGE INC,extraspace,Life transitions are difficult. We make them easier.,True
160991,DIGITAL REALTY TRUST INC,DigitalAPAC,Leading provider of data centre solutions in Asia Pacific and around the globe.  https://t.co/14nLpiX5G4,True
162129,MOSAIC CO,SuttonBStracke,Mom of 3. Art & fashion lover. Official Cast member of #RHOBH @bravotv. press opportunities please contact tad@mosaic https://t.co/l7kT9vL6Zt or jenn@mosaicpr.com,True
164708,AMERIPRISE FINANCIAL INC,ameriprise,"As a leader in financial planning, Ameriprise Financial, LLC. has helped millions of clients achieve their financial goals for more than 120 years.",True
174490,WINDSTREAM HOLDINGS INC,Windstream,Windstream is an innovative communications & software company offering managed communications services to businesses and high-speed internet to consumers,True
174729,WYNDHAM DESTINATIONS INC,wyndestinations,We believe in putting the world on #vacation. We believe in finding your perfect place. We believe in hospitality with heart. Our world is your #destination.,True
177376,DISCOVER FINANCIAL SVCS,Discover,"Thanks to your #EatItForward nominations, Discover is giving Black-owned restaurants a total of $5 million this year! See our winners so far in the link below.",True
178507,MSCI INC,MSCI_Inc,"An independent provider of research-driven insights, tools & #indices for investors, based on over 50 years’ academic research & real-world experience.",True
178704,ULTA BEAUTY INC,ultabeauty,The Possibilities Are Beautiful.✨,True
179437,AMERICAN WATER WORKS CO INC,amwater,We Keep Life Flowing,True
179700,DR PEPPER SNAPPLE GROUP INC,DrPepperSnapple,Serving up flavorful tweets from Dr Pepper Snapple Group.,True
183377,FORTINET INC,Fortinet,"The Fortinet #SecurityFabric platform secures the largest enterprise, service provider, and government organizations around the world.",True
184500,CBOE GLOBAL MARKETS INC,BatsGlobal,This account is closed. We're now powering your potential as @Cboe,True
186989,MARATHON PETROLEUM CORP,MarathonPetroCo,Marathon Petroleum Corporation (MPC) 2020 'ENERGY STAR Partner of the Year' -EPA,True
199356,TRIPADVISOR INC,TripAdvisor,Find the good out there. #TheresGoodOutThere,True
